id_station,nom_station,longitude,latitude,altitude_metres,precipitations_mm,qualite_donnee_rr,date,code_departement
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-11,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-12,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-13,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-14,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-15,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-16,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-06-17,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-19,01
1004003,AMBERIEU,5.348333,45.955,249,5.0,1.0,1877-06-20,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-21,01
1004003,AMBERIEU,5.348333,45.955,249,23.0,1.0,1877-06-22,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-23,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-24,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-25,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-28,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-29,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-30,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-01,01
1004003,AMBERIEU,5.348333,45.955,249,16.0,1.0,1877-07-02,01
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-07-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-04,01
